month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2019-06,retail,chicken,"Chicken breasts, per kilogram",11.12,Dollars,11.12,Dollars
2019-06,retail,chicken,"Chicken thigh, per kilogram",9.08,Dollars,9.08,Dollars
2019-06,retail,chicken,"Chicken drumsticks, per kilogram",6.21,Dollars,6.21,Dollars
2019-06,retail,pork,"Bacon, 500 grams",5.84,Dollars,11.68,Dollars per kg
2019-06,retail,milk,"Milk, 1 litre",3.03,Dollars,3.03,Dollars per litre
2019-06,retail,milk,"Milk, 2 litres",4.52,Dollars,2.26,Dollars per litre
2019-06,retail,milk,"Milk, 4 litres",4.83,Dollars,1.21,Dollars per litre
2019-06,retail,egg,"Eggs, 1 dozen",3.21,Dollars,3.21,Dollars
2019-07,farm,beef,Steers for slaughter [111111113],140.33,Dollars per hundredweight,3.09,Dollars per kg
2019-07,farm,beef,Heifers for slaughter [111111114],138.48,Dollars per hundredweight,3.05,Dollars per kg
2019-07,farm,pork,Hogs [111121],88.0,Dollars per hundredweight,1.94,Dollars per kg
2019-07,farm,chicken,Chickens for meat [11113131],2.02,Dollars per kilogram,2.02,Dollars per kilogram
2019-07,farm,milk,Unprocessed milk from bovine [11612111],694.18,Dollars per kilolitre,0.69,Dollars per litre
2019-07,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-07,retail,beef,"Beef stewing cuts, per kilogram",14.44,Dollars,14.44,Dollars
2019-07,retail,beef,"Beef striploin cuts, per kilogram",19.26,Dollars,19.26,Dollars
2019-07,retail,beef,"Beef top sirloin cuts, per kilogram",14.97,Dollars,14.97,Dollars
2019-07,retail,beef,"Beef rib cuts, per kilogram",23.05,Dollars,23.05,Dollars
2019-07,retail,beef,"Ground beef, per kilogram",9.45,Dollars,9.45,Dollars
2019-07,retail,pork,"Pork loin cuts, per kilogram",7.26,Dollars,7.26,Dollars
2019-07,retail,pork,"Pork rib cuts, per kilogram",8.6,Dollars,8.6,Dollars
2019-07,retail,pork,"Pork shoulder cuts, per kilogram",9.25,Dollars,9.25,Dollars
2019-07,retail,chicken,"Whole chicken, per kilogram",5.16,Dollars,5.16,Dollars
2019-07,retail,chicken,"Chicken breasts, per kilogram",11.7,Dollars,11.7,Dollars
2019-07,retail,chicken,"Chicken thigh, per kilogram",8.31,Dollars,8.31,Dollars
2019-07,retail,chicken,"Chicken drumsticks, per kilogram",5.6,Dollars,5.6,Dollars
2019-07,retail,pork,"Bacon, 500 grams",5.77,Dollars,11.54,Dollars per kg
2019-07,retail,milk,"Milk, 1 litre",3.01,Dollars,3.01,Dollars per litre
2019-07,retail,milk,"Milk, 2 litres",4.53,Dollars,2.27,Dollars per litre
2019-07,retail,milk,"Milk, 4 litres",4.86,Dollars,1.22,Dollars per litre
2019-07,retail,egg,"Eggs, 1 dozen",3.14,Dollars,3.14,Dollars
2019-08,farm,beef,Steers for slaughter [111111113],137.01,Dollars per hundredweight,3.02,Dollars per kg
2019-08,farm,beef,Heifers for slaughter [111111114],130.47,Dollars per hundredweight,2.88,Dollars per kg
2019-08,farm,pork,Hogs [111121],99.33,Dollars per hundredweight,2.19,Dollars per kg
2019-08,farm,chicken,Chickens for meat [11113131],2.08,Dollars per kilogram,2.08,Dollars per kilogram
